datetime,price,consumption,dailyTempAvg(Celsius),dailyTempMax(Celsius),dailyTempMin(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium,january,february,march,april,may,june,july,august,september,october,november,december
2017-09-02 10:15:00,40.17,334.3,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,38.15,16029.5,89,31,0,4009.0,6.41,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-02 23:15:00,31.86,371.6,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,34.33,13403.8,89,31,0,4009.0,1.48,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-04 05:30:00,31.72,377.1,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,30.4,13242.8,91,29,0,4009.0,-1.36,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-05 07:00:00,42.48,1113.0,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,42.39,13193.3,92,28,0,4009.0,6.26,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-05 12:45:00,35.94,372.2,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,38.49,16874.2,92,28,0,4009.0,8.85,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-05 21:00:00,47.43,952.5,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,40.4,15549.9,92,28,0,4009.0,-0.4200000000000021,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-06 04:00:00,11.57,579.6,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,24.21,16040.1,93,27,0,4009.0,32.72,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-06 11:00:00,43.23,740.6,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,40.07,16303.9,93,27,0,4009.0,-0.909999999999997,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-07 12:15:00,39.46,246.4,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,38.22,15676.3,94,26,0,4009.0,17.79,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-08 14:30:00,14.09,333.2,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,34.0,16242.4,95,25,0,4009.0,8.32,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-09 08:15:00,27.24,376.5,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,34.79,12727.2,96,24,0,4009.0,5.35,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-10 22:45:00,-5.07,1081.0,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,22.6,16344.3,97,23,0,4009.0,23.06,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-11 15:30:00,24.23,244.4,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,23.97,18245.1,98,22,0,4009.0,-8.22,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-12 20:15:00,54.6,517.7,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,45.52,16846.7,99,21,0,4009.0,30.2,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-13 07:00:00,22.43,1011.4,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,30.06,16174.2,100,20,0,4009.0,-3.0,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-13 18:45:00,20.25,1005.2,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,34.16,17154.4,100,20,0,4009.0,-6.96,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-14 15:45:00,25.49,760.1,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,30.08,16169.3,101,19,0,4009.0,-13.35,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-14 22:00:00,41.71,1096.2,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,32.12,11030.4,101,19,0,4009.0,-15.01,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-15 23:45:00,14.84,1172.2,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,37.79,12831.7,102,18,0,4009.0,10.72,0,0,0,0,0,0,0,0,1,0,0,0
