price,consumption,dailyTempAvg(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium,price_dayahead_lastDay,consumption_dayahead_lastDay,price_intraday_lastDay,consumption_intraday_lastDay,price_dayahead_increase_lastWeek,consumption_dayahead_increase_lastWeek,price_intraday_increase_lastWeek,consumption_intraday_increase_lastWeek,cat_price_premium,january,february,march,april,may,june,july,august,september,october,november,december,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
31.07,462.3,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,32.87,16535.9,25,59,0,1285.0,1.8,32.88,18557.7,21.06,671.8,-4.238571428571428,438.10000000000014,-3.4471428571428566,32.55714285714286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.83,551.8,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,30.23,14579.5,25,59,0,1285.0,10.4,36.5,15071.2,24.31,261.8,-2.662857142857143,12.142857142857142,-0.3971428571428573,-13.414285714285713,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.66,335.1,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,24.95,14344.5,26,58,0,1285.0,11.29,25.07,11885.6,21.17,378.8,-2.4485714285714293,-78.05714285714281,-0.2657142857142856,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.99,579.3,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,39.05,17552.0,27,57,0,1285.0,9.06,32.87,16535.9,31.07,462.3,-10.044285714285717,458.57142857142884,-4.04,-8.900000000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49.46,563.2,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,51.78,14869.0,27,57,0,1285.0,2.32,38.98,15603.1,36.05,713.2,-12.667142857142858,225.81428571428586,-6.308571428571428,36.52857142857143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.85,583.0,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,18.08,11659.5,28,56,0,1285.0,12.23,12.95,12816.4,21.06,270.9,-3.3028571428571434,-45.557142857142814,-1.4385714285714286,15.285714285714278,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.62,749.4,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,32.65,17373.0,28,56,0,1285.0,4.03,36.29,16546.9,27.15,929.5,-7.024285714285713,88.72857142857174,-6.842857142857143,33.614285714285714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.92,1242.8,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,27.2,15813.6,28,56,0,1285.0,1.28,27.85,14234.7,27.14,947.6,-4.5942857142857125,-170.6714285714284,-7.127142857142857,-29.257142857142874,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.9,275.4,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,16.8,13082.7,29,55,0,1285.0,9.9,21.91,13115.7,12.45,698.6,-1.0799999999999998,-11.842857142857088,-1.912857142857143,44.84285714285715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,233.8,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,12.22,13658.7,29,55,0,1285.0,6.12,19.63,11682.6,4.06,918.6,-0.7971428571428574,-318.0571428571428,-3.137142857142857,68.01428571428572,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.61,242.7,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,16.85,12023.5,29,55,0,1285.0,3.24,33.4,14242.4,19.95,380.1,-1.085714285714286,-252.52857142857155,-2.4414285714285717,20.84285714285715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
