ratio,loss,penalty,n_splits,tol,score
0.95,perceptron,l2,100,0.005,0.5851868131868132
0.95,perceptron,l2,100,0.007,0.5643956043956043
0.95,perceptron,l2,100,0.01,0.5712967032967033
0.95,perceptron,l2,150,0.001,0.5796483516483517
0.95,perceptron,l2,150,0.003,0.5765274725274725
0.95,perceptron,l2,150,0.005,0.5811868131868131
0.95,perceptron,l2,150,0.007,0.5815824175824176
0.95,perceptron,l2,150,0.01,0.5852747252747253
0.95,perceptron,elasticnet,50,0.001,0.5814945054945055
0.95,perceptron,elasticnet,50,0.003,0.5862857142857143
0.95,perceptron,elasticnet,50,0.005,0.581010989010989
0.95,perceptron,elasticnet,50,0.007,0.5773186813186812
0.95,perceptron,elasticnet,50,0.01,0.5875164835164834
0.95,perceptron,elasticnet,100,0.001,0.5936263736263736
0.95,perceptron,elasticnet,100,0.003,0.5820659340659341
0.95,perceptron,elasticnet,100,0.005,0.585978021978022
0.95,perceptron,elasticnet,100,0.007,0.5957362637362636
0.95,perceptron,elasticnet,100,0.01,0.5832527472527472
0.95,perceptron,elasticnet,150,0.001,0.569010989010989
0.95,perceptron,elasticnet,150,0.003,0.5796043956043956
0.95,perceptron,elasticnet,150,0.005,0.5915604395604397
0.95,perceptron,elasticnet,150,0.007,0.5845714285714286
0.95,perceptron,elasticnet,150,0.01,0.5807912087912088
0.95,perceptron,none,50,0.001,0.5843516483516483
0.95,perceptron,none,50,0.003,0.5796043956043956
0.95,perceptron,none,50,0.005,0.5907692307692307
0.95,perceptron,none,50,0.007,0.5982417582417583
0.95,perceptron,none,50,0.01,0.5827252747252748
0.95,perceptron,none,100,0.001,0.5863296703296703
0.95,perceptron,none,100,0.003,0.584
0.95,perceptron,none,100,0.005,0.598065934065934
0.95,perceptron,none,100,0.007,0.5979780219780221
0.95,perceptron,none,100,0.01,0.5872087912087911
0.95,perceptron,none,150,0.001,0.5847912087912088
0.95,perceptron,none,150,0.003,0.5890109890109889
0.95,perceptron,none,150,0.005,0.5905494505494506
0.95,perceptron,none,150,0.007,0.5934945054945056
0.95,perceptron,none,150,0.01,0.5967032967032967
0.95,perceptron,l1,50,0.001,0.5805714285714286
0.95,perceptron,l1,50,0.003,0.594021978021978
0.95,perceptron,l1,50,0.005,0.5812307692307692
0.95,perceptron,l1,50,0.007,0.5807032967032967
0.95,perceptron,l1,50,0.01,0.5892307692307692
0.95,perceptron,l1,100,0.001,0.5743296703296703
0.95,perceptron,l1,100,0.003,0.5937142857142856
0.95,perceptron,l1,100,0.005,0.586945054945055
0.95,perceptron,l1,100,0.007,0.5846153846153845
0.95,perceptron,l1,100,0.01,0.5875604395604395
0.95,perceptron,l1,150,0.001,0.5947252747252747
0.95,perceptron,l1,150,0.003,0.5854505494505495
0.95,perceptron,l1,150,0.005,0.5908571428571429
0.95,perceptron,l1,150,0.007,0.5983736263736263
0.95,perceptron,l1,150,0.01,0.5930109890109889
0.975,hinge,l2,50,0.001,0.5912527472527472
0.975,hinge,l2,50,0.003,0.5953846153846154
0.975,hinge,l2,50,0.005,0.5897582417582419
0.975,hinge,l2,50,0.007,0.5704615384615385
0.975,hinge,l2,50,0.01,0.592087912087912
0.975,hinge,l2,100,0.001,0.5845274725274725
0.975,hinge,l2,100,0.003,0.5923076923076923
0.975,hinge,l2,100,0.005,0.5911208791208791
0.975,hinge,l2,100,0.007,0.594945054945055
0.975,hinge,l2,100,0.01,0.5895824175824176
0.975,hinge,l2,150,0.001,0.5871648351648352
0.975,hinge,l2,150,0.003,0.5921758241758242
0.975,hinge,l2,150,0.005,0.5776703296703296
0.975,hinge,l2,150,0.007,0.5918241758241758
0.975,hinge,l2,150,0.01,0.5888791208791209
0.975,hinge,elasticnet,50,0.001,0.5997802197802198
0.975,hinge,elasticnet,50,0.003,0.5962637362637363
0.975,hinge,elasticnet,50,0.005,0.6218901098901098
0.975,hinge,elasticnet,50,0.007,0.5994285714285714
0.975,hinge,elasticnet,50,0.01,0.5817142857142859
0.975,hinge,elasticnet,100,0.001,0.5813186813186814
0.975,hinge,elasticnet,100,0.003,0.5954725274725275
0.975,hinge,elasticnet,100,0.005,0.5881318681318681
0.975,hinge,elasticnet,100,0.007,0.60210989010989
0.975,hinge,elasticnet,100,0.01,0.5847032967032967
0.975,hinge,elasticnet,150,0.001,0.5905934065934066
0.975,hinge,elasticnet,150,0.003,0.5902417582417583
0.975,hinge,elasticnet,150,0.005,0.6035604395604396
0.975,hinge,elasticnet,150,0.007,0.5917802197802198
0.975,hinge,elasticnet,150,0.01,0.5956923076923076
0.975,hinge,none,50,0.001,0.6013626373626374
0.975,hinge,none,50,0.003,0.6046153846153846
0.975,hinge,none,50,0.005,0.6105054945054945
